user_id,event,datetime_stamp,value
10,lamp_change,29_May_2015_19_08_33_984,OFF
10,bedtime_tonight,,2300
10,fitness,,52
10,lamp_change,29_May_2015_19_08_33_942,OFF
10,lamp_change,29_May_2015_18_58_00_482,DIM
10,adherence_importance,,100
10,lamp_change,29_May_2015_18_58_00_739,OFF
10,lamp_change,29_May_2015_19_08_33_816,DIM
10,lamp_change,29_May_2015_18_58_00_731,OFF
10,lamp_change,29_May_2015_18_58_02_899,ON
10,rise_reason,,ja
10,risetime,,0900
37,lamp_change,28_May_2015_21_45_26_591,OFF
37,lamp_change,28_May_2015_21_45_42_339,OFF
37,fitness,,34
37,lamp_change,28_May_2015_21_45_26_578,OFF
37,bedtime_tonight,,1200
37,lamp_change,28_May_2015_21_45_42_247,DIM
37,lamp_change,28_May_2015_21_45_42_333,OFF
37,lamp_change,28_May_2015_21_45_26_529,DIM
37,adherence_importance,,11
37,lamp_change,28_May_2015_21_45_29_884,ON
37,rise_reason,,ja
37,risetime,,830
10,nudge_time,,23:00
12,lamp_change,31_May_2015_12_25_31_484,OFF
12,nudge_time,,23:30
12,nudge_time,,23:30
12,lamp_change,29_May_2015_10_59_07_024,OFF
12,nudge_time,,23:30
12,rise_reason,,ja
12,fitness,,23
12,nudge_time,,23:30
12,lamp_change,31_May_2015_12_25_27_776,ON
12,nudge_time,,23:30
12,lamp_change,29_May_2015_10_59_09_035,ON
12,lamp_change,29_May_2015_10_59_13_497,DIM
12,nudge_time,,23:30
12,bedtime_tonight,,2330
12,adherence_importance,,78
12,nudge_time,,23:30
12,risetime,,1200
12,lamp_change,31_May_2015_12_25_31_447,DIM
12,lamp_change,29_May_2015_10_59_06_992,DIM
12,lamp_change,29_May_2015_10_59_13_533,OFF
24,lamp_change,30_May_2015_13_18_08_510,DIM
24,lamp_change,30_May_2015_13_17_39_648,ON
24,lamp_change,30_May_2015_13_18_26_114,OFF
24,lamp_change,30_May_2015_13_18_19_060,OFF
24,lamp_change,30_May_2015_16_06_32_242,ON
24,lamp_change,30_May_2015_13_15_51_665,ON
24,lamp_change,29_May_2015_21_47_41_193,ON
24,lamp_change,30_May_2015_13_18_26_053,DIM
24,lamp_change,30_May_2015_16_06_28_557,OFF
24,lamp_change,30_May_2015_00_30_41_840,OFF
24,lamp_change,30_May_2015_16_06_34_603,OFF
24,lamp_change,30_May_2015_09_34_08_779,ON
24,adherence_importance,,75
24,lamp_change,29_May_2015_12_38_11_990,OFF
24,lamp_change,30_May_2015_09_34_16_736,OFF
24,lamp_change,30_May_2015_13_17_51_120,OFF
